,pid,model,price,country_code,country,region,income group,scraped_date,model_en,price2,price_local_currency
305,12,iPad Pro,Fra kr 8 990,NO,Norway,Europe & Central Asia,High income,2022-01-02 21:52:33.104383,iPad Pro,8990,8990.0
306,13,Apple Pencil (2. gen.),kr 1 499,NO,Norway,Europe & Central Asia,High income,2022-01-02 21:52:33.104383,Apple Pencil (2nd generation),1499,1499.0
307,14,24-tommers iMac²,Fra kr 15 290,NO,Norway,Europe & Central Asia,High income,2022-01-02 21:52:33.104383,24-inch iMac,15290,15290.0
308,15,MacBook Air,Fra kr 11 990,NO,Norway,Europe & Central Asia,High income,2022-01-02 21:52:33.104383,MacBook Air,11990,11990.0
309,16,Magic Mouse,kr 949,NO,Norway,Europe & Central Asia,High income,2022-01-02 21:52:33.104383,Magic Mouse,949,949.0
311,1,iPhone SE,"From ₱26,490",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,iPhone SE,"26,490",26490.0
312,2,iPhone 12,"From ₱38,990",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,iPhone 12,"38,990",38990.0
314,4,AirPods Pro,"₱14,990",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,AirPods Pro,"14,990",14990.0
315,5,AirPods(2nd generation),"₱7,690",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,AirPods(2nd generation),"7,690",7690.0
317,7,Apple TV 4K,"₱10,990",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,Apple TV 4K,"10,990",10990.0
318,8,Apple Watch SE,"From ₱15,990",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,Apple Watch SE,"15,990",15990.0
319,9,Apple Watch Series 3,"From ₱11,490",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,Apple Watch Series 3,"11,490",11490.0
320,10,Sport Band,"₱2,790",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,Sport Band,"2,790",2790.0
321,11,iPad,"From ₱19,990",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,iPad,"19,990",19990.0
322,12,iPad Pro,"From ₱45,990",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,iPad Pro,"45,990",45990.0
323,13,Apple Pencil (2nd generation),"₱7,990",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,Apple Pencil (2nd generation),"7,990",7990.0
324,14,24-inch iMac²,"From ₱73,990",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,24-inch iMac,"73,990",73990.0
325,15,MacBook Air,"From ₱54,990",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,MacBook Air,"54,990",54990.0
326,16,Magic Mouse,"₱3,990",PH,Philippines,East Asia & Pacific,Lower middle income,2022-01-02 21:52:35.094330,Magic Mouse,"3,990",3990.0
328,1,iPhone SE,Od 2199 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,iPhone SE,2199,2199.0
329,2,iPhone 12,Od 3149 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,iPhone 12,3149,3149.0
331,4,AirPods Pro,1249 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,AirPods Pro,1249,1249.0
332,5,AirPods(2. generacji),649 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,AirPods(2nd generation),649,649.0
334,7,Apple TV 4K,899 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,Apple TV 4K,899,899.0
335,8,Apple Watch SE,Od 1349 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,Apple Watch SE,1349,1349.0
336,9,Apple Watch Series 3,Od 999 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,Apple Watch Series 3,999,999.0
337,10,Pasek sportowy,199 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,Sport Band,199,199.0
338,11,iPad,Od 1699 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,iPad,1699,1699.0
339,12,iPad Pro,Od 3899 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,iPad Pro,3899,3899.0
340,13,Apple Pencil (2. generacji),619 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,Apple Pencil (2nd generation),619,619.0
341,14,iMac 24 cale²,Od 6799 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,24-inch iMac,6799,6799.0
342,15,MacBook Air,Od 5199 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,MacBook Air,5199,5199.0
343,16,Magic Mouse,399 zł,PL,Poland,Europe & Central Asia,High income,2022-01-02 21:52:38.882845,Magic Mouse,399,399.0
345,1,iPhone SE,Desde 499 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,iPhone SE,499,499.0
346,2,iPhone 12,Desde 709 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,iPhone 12,709,709.0
348,4,AirPods Pro,279 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,AirPods Pro,279,279.0
349,5,AirPods(2.ª geração),149 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,AirPods(2nd generation),149,149.0
351,7,Apple TV 4K,199 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,Apple TV 4K,199,199.0
352,8,Apple Watch SE,Desde 309 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,Apple Watch SE,309,309.0
353,9,Apple Watch Series 3,Desde 229 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,Apple Watch Series 3,229,229.0
354,10,Bracelete desportiva,49 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,Sport Band,49,49.0
355,11,iPad,Desde 399 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,iPad,399,399.0
356,12,iPad Pro,Desde 909 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,iPad Pro,909,909.0
357,13,Apple Pencil (2.ª geração),135 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,Apple Pencil (2nd generation),135,135.0
358,14,iMac de 24 polegadas²,Desde 1499 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,24-inch iMac,1499,1499.0
359,15,MacBook Air,Desde 1159 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,MacBook Air,1159,1159.0
360,16,Magic Mouse,85 €,PT,Portugal,Europe & Central Asia,High income,2022-01-02 21:52:40.018627,Magic Mouse,85,85.0
362,1,iPhone SE,От 39 990 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,iPhone SE,39990.,39990.0
363,2,iPhone 12,От 54 990 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,iPhone 12,54990.,54990.0
365,4,AirPods Pro,24 990 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,AirPods Pro,24990.,24990.0
366,5,AirPods(2‑го поколения),12 490 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,AirPods(2nd generation),12490.,12490.0
368,7,Apple TV 4K,16 990 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,Apple TV 4K,16990.,16990.0
370,9,Apple Watch SE,От 24 990 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,Apple Watch SE,24990.,24990.0
371,10,Apple Watch Series 3,От 17 990 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,Apple Watch Series 3,17990.,17990.0
372,11,Спортивный ремешок,3900 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,Sport Band,3900.,3900.0
373,12,iPad,От 30 990 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,iPad,30990.,30990.0
374,13,iPad Pro,От 77 990 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,iPad Pro,77990.,77990.0
375,14,Apple Pencil (2‑го поколения),11 490 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,Apple Pencil (2nd generation),11490.,11490.0
376,15,iMac 24 дюйма²,От 129 990 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,24-inch iMac,129990.,129990.0
377,16,MacBook Air,От 99 990 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,MacBook Air,99990.,99990.0
378,17,Мышь Magic Mouse,7900 pyб.,RU,Russia,Europe & Central Asia,Upper middle income,2022-01-02 21:52:41.098636,Magic Mouse,7900.,7900.0
380,1,iPhone SE,Från 5 075 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,iPhone SE,5075,5075.0
381,2,iPhone 12,Från 7 395 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,iPhone 12,7395,7395.0
383,4,AirPods Pro,3 195 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,AirPods Pro,3195,3195.0
384,5,AirPods(andra generationen),1 595 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,AirPods(2nd generation),1595,1595.0
386,7,Apple TV 4K,1 995 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,Apple TV 4K,1995,1995.0
387,8,Apple Watch SE,Från 3 195 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,Apple Watch SE,3195,3195.0
388,9,Apple Watch Series 3,Från 2 295 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,Apple Watch Series 3,2295,2295.0
389,10,Sportband,495 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,Sport Band,495,495.0
390,11,iPad,Från 3 995 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,iPad,3995,3995.0
391,12,iPad Pro,Från 9 495 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,iPad Pro,9495,9495.0
392,13,Apple Pencil (andra generationen),1 495 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,Apple Pencil (2nd generation),1495,1495.0
393,14,iMac 24 tum²,Från 15 995 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,24-inch iMac,15995,15995.0
394,15,MacBook Air,Från 12 495 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,MacBook Air,12495,12495.0
395,16,Magic Mouse,895 kr,SE,Sweden,Europe & Central Asia,High income,2022-01-02 21:52:42.128726,Magic Mouse,895,895.0
397,1,iPhone SE,"เริ่มต้นที่ ฿14,900",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,iPhone SE,"14,900",14900.0
398,2,iPhone 12,"เริ่มต้นที่ ฿21,900",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,iPhone 12,"21,900",21900.0
400,4,AirPods Pro,"฿8,992",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,AirPods Pro,"8,992",8992.0
401,5,AirPods(รุ่นที่ 2),"฿4,990",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,AirPods(2nd generation),"4,990",4990.0
403,7,Apple TV 4K,"฿6,700",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,Apple TV 4K,"6,700",6700.0
404,8,Apple Watch SE,"เริ่มต้นที่ ฿9,900",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,Apple Watch SE,"9,900",9900.0
405,9,Apple Watch Series 3,"เริ่มต้นที่ ฿6,900",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,Apple Watch Series 3,"6,900",6900.0
406,10,สายแบบ Sport Band,"฿1,600",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,Sport Band,"1,600",1600.0
407,11,iPad,"เริ่มต้นที่ ฿11,400",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,iPad,"11,400",11400.0
408,12,iPad Pro,"เริ่มต้นที่ ฿27,900",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,iPad Pro,"27,900",27900.0
409,13,Apple Pencil (รุ่นที่ 2),"฿4,490",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,Apple Pencil (2nd generation),"4,490",4490.0
410,14,iMac รุ่น 24 นิ้ว²,"เริ่มต้นที่ ฿42,900",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,24-inch iMac,"42,900",42900.0
411,15,MacBook Air,"เริ่มต้นที่ ฿32,900",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,MacBook Air,"32,900",32900.0
412,16,Magic Mouse,"฿2,490",TH,Thailand,East Asia & Pacific,Upper middle income,2022-01-02 21:52:44.257695,Magic Mouse,"2,490",2490.0
414,1,iPhone SE,Başlangıç fiyatı: 7.799 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,iPhone SE,7.799,7799.0
415,2,iPhone 12,Başlangıç fiyatı: 13.499 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,iPhone 12,13.499,13499.0
417,4,AirPods Pro,3.799 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,AirPods Pro,3.799,3799.0
418,5,AirPods(2. nesil),1.899 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,AirPods(2nd generation),1.899,1899.0
420,7,Apple TV 4K,2.899 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,Apple TV 4K,2.899,2899.0
422,9,Apple Watch SE,Başlangıç fiyatı: 4.199 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,Apple Watch SE,4.199,4199.0
423,10,Apple Watch Series 3,Başlangıç fiyatı: 2.949 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,Apple Watch Series 3,2.949,2949.0
424,11,Spor Kordon,499 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,Sport Band,499,499.0
425,12,iPad,Başlangıç fiyatı: 5.199 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,iPad,5.199,5199.0
426,13,iPad Pro,Başlangıç fiyatı: 11.999 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,iPad Pro,11.999,11999.0
427,14,Apple Pencil (2. nesil),1.519 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,Apple Pencil (2nd generation),1.519,1519.0
428,15,24 inç iMac²,Başlangıç fiyatı: 18.999 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,24-inch iMac,18.999,18999.0
429,16,MacBook Air,Başlangıç fiyatı: 14.999 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,MacBook Air,14.999,14999.0
430,17,Magic Mouse,1.089 TL,TR,Turkey,Europe & Central Asia,Upper middle income,2022-01-02 21:52:45.332201,Magic Mouse,1.089,1089.0
432,1,iPhone SE,From $399 or $16.62/mo. per month for 24 mo.**,US,United States,North America,High income,2022-01-02 21:52:47.021744,iPhone SE,399,399.0
433,2,iPhone 12,From $599 or $24.95/mo. per month for 24 mo.**,US,United States,North America,High income,2022-01-02 21:52:47.021744,iPhone 12,599,599.0
435,4,AirPods Pro,$249 or $41.50/mo. per month for 6 mo.*,US,United States,North America,High income,2022-01-02 21:52:47.021744,AirPods Pro,249,249.0
436,5,AirPods(2nd generation),$129 or $21.50/mo. per month for 6 mo.*,US,United States,North America,High income,2022-01-02 21:52:47.021744,AirPods(2nd generation),129,129.0
438,7,Apple TV 4K,From $179.00 or $29.83/mo. per month for 6 mo.*,US,United States,North America,High income,2022-01-02 21:52:47.021744,Apple TV 4K,179.00,179.0
439,8,Apple Watch SE,From $279 or $11.62/mo. per month for 24 mo.*,US,United States,North America,High income,2022-01-02 21:52:47.021744,Apple Watch SE,279,279.0
440,9,Apple Watch Series 3,From $199 or $8.29/mo. per month for 24 mo.*,US,United States,North America,High income,2022-01-02 21:52:47.021744,Apple Watch Series 3,199,199.0
441,10,Sport Band,$49 or $4.08/mo. per month for 12 mo.*,US,United States,North America,High income,2022-01-02 21:52:47.021744,Sport Band,49,49.0
442,11,iPad,From $329 or $27.41/mo. per month for 12 mo.*,US,United States,North America,High income,2022-01-02 21:52:47.021744,iPad,329,329.0
443,12,iPad Pro,From $799 or $66.58/mo. per month for 12 mo.*,US,United States,North America,High income,2022-01-02 21:52:47.021744,iPad Pro,799,799.0
444,13,Apple Pencil (2nd generation),$129 or $10.75/mo. per month for 12 mo.*,US,United States,North America,High income,2022-01-02 21:52:47.021744,Apple Pencil (2nd generation),129,129.0
445,14,24-inch iMac²,From $1299 or $108.25/mo. per month for 12 mo.*,US,United States,North America,High income,2022-01-02 21:52:47.021744,24-inch iMac,1299,1299.0
446,15,MacBook Air,From $999 or $83.25/mo. per month for 12 mo.*,US,United States,North America,High income,2022-01-02 21:52:47.021744,MacBook Air,999,999.0
447,16,Magic Mouse,$79,US,United States,North America,High income,2022-01-02 21:52:47.021744,Magic Mouse,79,79.0
